# d0	d1	f0	f1	g0	g1	B	
# 
3.871318365857999173e-03 9.527255019550378776e-03 5.259497407557845675e-04 7.188134681641237915e-03 1.339576148721782973e-04 1.193602090120289799e-04 2.333216854039083435e-05
3.399896094014102400e-03 1.270299978839948413e-02 8.591262331522662521e-04 1.156003841278040872e-02 1.014419098648867550e-04 1.329240600556366280e-04 1.550476905072687830e-05
3.267634263398903980e-03 1.092055155379721872e-02 5.743332154567017470e-04 9.086196504640450464e-03 1.092919215169772763e-04 1.303984260981955396e-04 1.743295328625419030e-05
4.310802591496156605e-03 1.707444280195980976e-02 1.577193815157060079e-03 9.410458608405529099e-03 1.256054417884404264e-04 1.653393458779717142e-04 2.004561954234075451e-05
3.962107708425161717e-03 1.131820240163624106e-02 1.273839288466807867e-03 8.426376236030937161e-03 1.197744423189162576e-04 1.189616572973923382e-04 2.076086596108606979e-05
2.991356793624019503e-03 1.059461507421066533e-02 7.377255761239365911e-04 9.935976699016120170e-03 9.567666939923505462e-05 1.265317254693330840e-04 1.632985289310860851e-05
3.068394179616381993e-03 1.360343293767608645e-02 1.248561027021698275e-03 7.242195745955394559e-03 9.444567950717876344e-05 1.283809871670396141e-04 1.698581382606966934e-05
3.457397075290019519e-03 9.448422618102768344e-03 6.380877349979428978e-04 7.720483861665961879e-03 1.077496560015959006e-04 1.191358635651486607e-04 1.785085430047651477e-05
3.408563499778834074e-03 1.346340216578791570e-02 6.166763019669641585e-04 5.635523449007815225e-03 1.172492999312642342e-04 1.421767194683170243e-04 2.326499282620744942e-05
3.448832848170550486e-03 1.429005988976879762e-02 9.154507547365540142e-04 7.502950002450047527e-03 1.048670103531503954e-04 1.303609327790442366e-04 1.739481717746531992e-05
