# d0	d1	e0\e1	f0	f1	g0	g1
2.129196791332284455e+00 3.853622362447027827e-01 1.004011939493180960e-01 4.076682726716499561e-01 1.700597436576651855e-01 1.249360734592540156e+00 2.035342566497751193e-01
2.076009496303883761e+00 -1.644014087620609688e-01 3.882398423402466658e-01 4.008036275276018467e-01 7.083409104421481417e-02 1.242180779622446218e+00 8.355401428839547007e-02
2.031477134744304802e+00 3.539032829363915056e-01 2.079966467321353596e-01 4.103537432199823587e-01 1.242512781272932382e-01 1.240253993281089651e+00 2.062078611676189666e-01
1.996365607297760469e+00 4.000142989936866234e-01 -9.861638061272404165e-02 3.865079587294228958e-01 2.020823237769930891e-01 1.208501514649229058e+00 5.638309279185296091e-02
2.079104543688571560e+00 2.260326389849365014e-01 9.229384254026086476e-02 4.055812617942607945e-01 1.591385768060054884e-01 1.234980747453562122e+00 1.019466403130392385e-01
2.212909564337151025e+00 1.653351184931300955e-01 2.894888230050806643e-01 4.166909945881733801e-01 1.135699685009733395e-01 1.273734238301315269e+00 2.011459121380730075e-01
2.117455995145011372e+00 1.912201921668504889e-01 1.394475105692692396e-01 4.117695260832838766e-01 1.453666831522126279e-01 1.230380847353468088e+00 1.061914608754527950e-01
2.051761378016765391e+00 1.858205566345502435e-01 2.005807125044049843e-01 4.142690604808604293e-01 1.265424994261989677e-01 1.240573561401855596e+00 1.483360007375532086e-01
2.165294082482113858e+00 5.683483872780186186e-01 -1.489372388244208090e-01 3.974566930317192659e-01 2.528999607478763512e-01 1.241787245148680219e+00 1.283552098128487584e-01
1.982425039955505230e+00 3.123596007620011439e-01 -4.729159303751902937e-02 3.881636436401143531e-01 1.907756792624000497e-01 1.209011222024120924e+00 6.201020493988741028e-02
